,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div
0,2023-08-30,188600,189300,187800,187800,331121,0.5891805034815212,-1520252400.0,50623200.0,-11291118700.0,12760747900.0,6.58,0.6,3.73
1,2023-08-31,187800,189100,186200,189100,590270,0.6922257720979765,1014240300.0,39241300.0,-3241058900.0,2187577300.0,6.63,0.6,3.7
2,2023-09-01,188000,188900,186700,187400,281460,-0.8989952406134322,-4909343800.0,-526578000.0,8636333700.0,-3200411900.0,6.57,0.59,3.74
3,2023-09-04,186400,187400,185600,187300,307475,-0.05336179295624333,-15271279500.0,-786667400.0,9853112000.0,6204834900.0,6.57,0.59,3.74
4,2023-09-05,186500,186900,185600,186600,290618,-0.37373198077949815,-7914017800.0,-1613355300.0,9422193400.0,105179700.0,6.54,0.59,3.75
5,2023-09-06,186000,188300,186000,186700,259552,0.05359056806002144,-10369798400.0,31016800.0,-2794598000.0,13133379600.0,6.55,0.59,3.75
6,2023-09-07,185500,187200,185400,187200,299030,0.2678093197643278,-6973673500.0,-449362300.0,-4933840600.0,12356876400.0,6.56,0.59,3.74
7,2023-09-08,187500,187500,185200,185700,192047,-0.8012820512820512,533880700.0,85621400.0,5586417700.0,-6205919800.0,6.51,0.59,3.77
8,2023-09-11,185700,186300,184400,185500,195283,-0.10770059235325795,506985400.0,62929800.0,-1636725400.0,1066810200.0,6.5,0.59,3.77
9,2023-09-12,186500,188400,185600,186200,273908,0.37735849056603776,-799553600.0,85065500.0,-8269439600.0,8983927700.0,6.53,0.59,3.76
10,2023-09-13,187300,190700,187200,189800,579550,1.933404940923738,10110897500.0,458035400.0,-33214630100.0,22645697200.0,6.65,0.6,3.69
11,2023-09-14,191200,191200,188600,190700,627998,0.4741833508956797,53408400700.0,-139214200.0,-7968215900.0,-45300970600.0,6.69,0.61,3.67
12,2023-09-15,190700,192700,189100,192200,526604,0.7865757734661771,24452171500.0,-225084200.0,-26688757800.0,2461670500.0,6.74,0.61,3.64
13,2023-09-18,191200,192200,190200,191000,289943,-0.6243496357960457,-3471072900.0,12670800.0,-4759572100.0,8217974200.0,6.7,0.61,3.66
14,2023-09-19,191500,193200,190000,190000,289352,-0.5235602094240838,-7859254100.0,-104295500.0,-1300395700.0,9263945300.0,6.66,0.6,3.68
15,2023-09-20,190600,196000,190000,194900,636780,2.5789473684210527,16176672700.0,722976800.0,-63443842500.0,46544193000.0,6.83,0.62,3.59
16,2023-09-21,194400,194500,191600,191900,327599,-1.539250897896357,-10745400600.0,-3242640700.0,3196565500.0,10791475800.0,6.73,0.61,3.65
17,2023-09-22,189600,192400,189200,191500,326229,-0.20844189682126105,312179900.0,388867600.0,-2702114100.0,2001066600.0,6.71,0.61,3.66
18,2023-09-25,191700,193500,189600,192900,346374,0.7310704960835509,13858308500.0,-44959000.0,-16091779000.0,2278429500.0,6.76,0.61,3.63
19,2023-09-26,191600,192900,189900,190700,302642,-1.1404872991187145,-6236650100.0,-109266700.0,3664715100.0,2681201700.0,6.69,0.61,3.67
20,2023-09-27,189200,192400,189000,191100,367983,0.2097535395909806,-10124087000.0,-230948500.0,-6897142700.0,17252178200.0,6.7,0.61,3.66
21,2023-10-04,188000,193200,187100,190800,641075,-0.15698587127158556,5395234700.0,-1238111800.0,-9347520100.0,5190397200.0,6.69,0.61,3.67
22,2023-10-05,190900,192200,189500,190500,396264,-0.15723270440251574,7162526600.0,565268600.0,-628872300.0,-7098922900.0,6.68,0.6,3.67
23,2023-10-06,191000,192600,189600,192200,345787,0.8923884514435696,13154015100.0,-1103754800.0,-12121875500.0,71615200.0,6.74,0.61,3.64
24,2023-10-10,192700,192800,187700,188400,575373,-1.9771071800208115,15173662000.0,-1286710000.0,27347150600.0,-41234102600.0,6.61,0.6,3.72
25,2023-10-11,189000,191400,189000,189400,490998,0.5307855626326964,11058249500.0,-2897900100.0,-8948483000.0,788133600.0,6.64,0.6,3.7
26,2023-10-12,189600,189800,187700,188000,451893,-0.7391763463569165,-15147977600.0,-359064500.0,18739748100.0,-3232706000.0,6.59,0.6,3.72
27,2023-10-13,187500,188400,187100,187100,254250,-0.4787234042553191,-10765827000.0,-523570600.0,8269204600.0,3020193000.0,6.56,0.59,3.74
28,2023-10-16,186900,188300,186500,186800,291429,-0.16034206306787815,4631141100.0,65352600.0,-5542806000.0,846312300.0,6.55,0.59,3.75
29,2023-10-17,188300,189300,187100,188500,423633,0.9100642398286938,-2576627100.0,-39657600.0,-15642547300.0,18258832000.0,6.61,0.6,3.71
30,2023-10-18,190400,193000,189500,191800,532948,1.750663129973475,5034633000.0,-144086000.0,-36065802900.0,31175255900.0,6.72,0.61,3.65
31,2023-10-19,189900,190800,188800,188900,408555,-1.5119916579770596,12148369500.0,-1740390800.0,3406285900.0,-13814264600.0,6.62,0.6,3.71
32,2023-10-20,187800,188600,183500,183500,602367,-2.8586553732133404,-720225900.0,149881100.0,37329037300.0,-36758692500.0,6.43,0.58,3.81
33,2023-10-23,184200,186100,183800,185400,286602,1.0354223433242506,7789452700.0,-376775900.0,-6763860700.0,-648816100.0,6.5,0.59,3.78
34,2023-10-24,186900,187000,181400,182800,418638,-1.4023732470334414,1672450000.0,-119765900.0,22326087700.0,-23878771800.0,6.41,0.58,3.83
35,2023-10-25,182700,183700,182000,182000,374888,-0.437636761487965,5587987800.0,-357812000.0,8980402500.0,-14210578300.0,6.38,0.58,3.85
36,2023-10-26,180300,182500,178500,179500,651245,-1.3736263736263736,2959992500.0,-1151481900.0,10776082900.0,-12584593500.0,6.29,0.57,3.9
37,2023-10-27,181200,182900,174600,175600,787539,-2.1727019498607243,-8512715600.0,1026897500.0,43402247400.0,-35916429300.0,6.16,0.56,3.99
38,2023-10-30,175000,176300,171400,172500,726773,-1.765375854214123,-955327600.0,645344600.0,35635054100.0,-35325071100.0,6.05,0.55,4.06
39,2023-10-31,174300,175900,169300,169700,697296,-1.6231884057971016,-320102900.0,318796000.0,20228486700.0,-20227179800.0,5.95,0.54,4.12
40,2023-11-01,170800,171500,169400,170300,450423,0.3535651149086624,8315762200.0,1114395700.0,4212238500.0,-13642396400.0,5.97,0.54,4.11
41,2023-11-02,172000,175100,171500,172000,661435,0.9982384028185555,12201085600.0,-134856300.0,1241511500.0,-13307740800.0,6.03,0.55,4.07
42,2023-11-03,175000,175400,172700,173400,431491,0.813953488372093,2699408500.0,6542100.0,4736886000.0,-7442836600.0,6.08,0.55,4.04
43,2023-11-06,175400,177900,174900,177900,661383,2.5951557093425603,-846550600.0,350036900.0,-555837600.0,1052351300.0,6.24,0.56,3.93
44,2023-11-07,177500,177500,174200,176100,532443,-1.0118043844856661,-15524557600.0,91116700.0,7151637300.0,8281803600.0,6.17,0.56,3.98
45,2023-11-08,177900,179000,174500,174800,395162,-0.7382169222032936,1696306000.0,54700.0,13837403300.0,-15533764000.0,6.13,0.55,4.0
46,2023-11-09,174700,175700,174200,174700,384071,-0.057208237986270026,-3191156700.0,-14531800.0,-891005400.0,4096693900.0,6.13,0.55,4.01
47,2023-11-10,173800,175300,173500,173700,255065,-0.5724098454493417,-3895108600.0,-37355400.0,5044460700.0,-1111996700.0,6.09,0.55,4.03
48,2023-11-13,175000,175000,172800,173300,348523,-0.2302820955670697,10847520200.0,1134000400.0,5897238900.0,-17878759500.0,6.08,0.55,4.04
49,2023-11-14,174900,175900,173900,175200,329429,1.0963646855164455,16093852400.0,169974700.0,-6307264300.0,-9956562800.0,6.14,0.56,4.0
50,2023-11-15,178700,182600,178600,182500,806741,4.166666666666666,35813200800.0,-793004400.0,-57842615800.0,22822419400.0,6.4,0.58,3.84
51,2023-11-16,182500,186400,181800,184800,432174,1.2602739726027399,-112987700.0,450772400.0,-8858473900.0,8520689200.0,6.48,0.59,3.79
52,2023-11-17,185900,185900,183500,184400,259919,-0.21645021645021645,-6219705100.0,-775102600.0,2925463600.0,4069344100.0,6.47,0.59,3.8
53,2023-11-20,184400,184900,182100,183600,277906,-0.43383947939262474,-987605400.0,-241394600.0,7835008000.0,-6606008000.0,6.44,0.58,3.81
54,2023-11-21,184700,184800,183500,184200,252833,0.32679738562091504,-1132631600.0,307198100.0,-243636700.0,1069070200.0,6.46,0.58,3.8
55,2023-11-22,182300,183400,181200,183000,219027,-0.6514657980456027,-6443699600.0,155661900.0,5597671800.0,690365900.0,6.42,0.58,3.83
56,2023-11-23,183600,185000,182400,184800,240354,0.9836065573770493,1683966400.0,52016100.0,-8521548300.0,6785565800.0,6.48,0.59,3.79
57,2023-11-24,184600,185600,183900,184000,161656,-0.4329004329004329,3526737000.0,-60005500.0,-772458600.0,-2694272900.0,6.45,0.58,3.8
58,2023-11-27,184000,185700,184000,184900,188306,0.48913043478260876,3907031100.0,-560871400.0,-7294054000.0,3947894300.0,6.48,0.59,3.79
59,2023-11-28,185900,185900,183600,185700,269820,0.4326663061114116,5677155600.0,-306116700.0,-2345988300.0,-3025050600.0,6.51,0.59,3.77
60,2023-11-29,185700,186500,184700,184800,298485,-0.48465266558966075,-8173086300.0,-367717900.0,5011368300.0,3529435900.0,6.48,0.59,3.79
61,2023-11-30,184200,184900,182100,184300,574490,-0.27056277056277056,4716984900.0,1088300.0,9955637000.0,-14673710200.0,6.46,0.58,3.8
62,2023-12-01,183300,183800,181700,182800,304309,-0.8138903960933261,-8092788200.0,133476200.0,-1222383000.0,9181695000.0,6.41,0.58,3.83
63,2023-12-04,183900,184100,181600,181600,378913,-0.6564551422319475,-50732700.0,-196427900.0,8801812400.0,-8554651800.0,6.37,0.58,3.85
64,2023-12-05,181600,182000,180700,181400,275980,-0.11013215859030838,-9848423300.0,-404334100.0,1082185800.0,9170571600.0,6.36,0.58,3.86
65,2023-12-06,181100,183400,181100,182900,280528,0.8269018743109152,10667617200.0,-8500.0,-12170709600.0,1503100900.0,6.41,0.58,3.83
66,2023-12-07,181400,183300,181400,182600,296154,-0.16402405686167304,-4997573500.0,-144990800.0,-3419791900.0,8562356200.0,6.4,0.58,3.83
67,2023-12-08,183600,185700,183400,185100,327749,1.3691128148959473,13352016400.0,134839100.0,-28817645600.0,15330790100.0,6.49,0.59,3.78
68,2023-12-11,185400,185400,184000,185400,218073,0.1620745542949757,133795400.0,-420431300.0,-3555253400.0,3841889300.0,6.5,0.59,3.78
69,2023-12-12,185500,186400,185000,185600,332590,0.10787486515641855,17980629800.0,429432600.0,-14579485800.0,-3830576600.0,6.51,0.59,3.77
