,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-11,70400,70800,70000,70800,11785462,0.7112375533428165,31144653600.0,-1798713400.0,-81190508700.0,51844568500.0,8.79,1.39,2.04,2556.8798828125,,,,3142.780029296875,18096.44921875,32467.759765625
1,2023-09-12,70800,71000,70400,70500,11688599,-0.423728813559322,29397697100.0,-71039300.0,-21859798500.0,-7466859300.0,8.75,1.39,2.05,2536.580078125,4487.4599609375,13917.8896484375,3569.22998046875,3137.06005859375,18025.890625,32776.37109375
2,2023-09-13,71100,71600,70300,70900,15955797,0.5673758865248227,92926043800.0,1775675800.0,-101258842500.0,6557122900.0,8.8,1.4,2.04,2534.699951171875,4461.89990234375,13773.6103515625,3541.090087890625,3123.070068359375,18009.220703125,32706.51953125
3,2023-09-14,71200,71800,70800,71700,21041407,1.1283497884344147,566399280600.0,-1105392600.0,-220056357900.0,-345237530100.0,8.9,1.41,2.01,2572.889892578125,4467.43994140625,13813.58984375,3560.4599609375,3126.550048828125,18047.919921875,33168.1015625
4,2023-09-15,71700,72300,71400,72000,17823512,0.41841004184100417,363034140300.0,-1615242400.0,-293667667200.0,-67751230700.0,8.94,1.42,2.01,2601.280029296875,4505.10009765625,13926.0498046875,3584.22998046875,3117.739990234375,18182.890625,33533.08984375
5,2023-09-18,71300,71700,70200,70200,16040727,-2.5,-49951906400.0,840376700.0,160347782100.0,-111236252400.0,8.71,1.38,2.06,2574.719970703125,4450.31982421875,13708.330078125,3476.389892578125,3125.929931640625,17930.55078125,
6,2023-09-19,70400,70800,69600,69800,11820188,-0.5698005698005698,-183511935300.0,-419738800.0,138732535500.0,45199138600.0,8.66,1.37,2.07,2559.2099609375,4453.52978515625,13710.240234375,3492.469970703125,3124.9599609375,17997.169921875,33242.58984375
7,2023-09-20,70000,70300,69500,69600,10873015,-0.28653295128939826,-36429817700.0,4617894600.0,64283286400.0,-32471363300.0,8.64,1.37,2.07,2559.739990234375,4443.9501953125,13678.1904296875,3459.02001953125,3108.568115234375,17885.599609375,33023.78125
8,2023-09-21,69200,69800,68800,68900,10796336,-1.0057471264367817,-237549291700.0,6133677300.0,79816354600.0,151599259800.0,8.55,1.36,2.1,2514.969970703125,4402.2001953125,13469.1298828125,3398.81005859375,3084.700927734375,17655.41015625,32571.029296875
9,2023-09-22,68300,68900,68300,68800,9897840,-0.14513788098693758,-59352071500.0,477882100.0,67011142500.0,-8136953100.0,8.54,1.35,2.1,2508.1298828125,4330.0,13223.98046875,3338.85009765625,3132.431884765625,18057.44921875,32402.41015625
10,2023-09-25,68500,69700,68500,69400,13582516,0.872093023255814,-9666344300.0,-2197804500.0,-19080257400.0,30944406200.0,8.61,1.37,2.08,2495.760009765625,4320.06005859375,13211.8095703125,3365.2900390625,3115.60693359375,17729.2890625,32678.619140625
11,2023-09-26,70000,70000,68400,68600,13143470,-1.1527377521613833,-182725782500.0,2931418000.0,152780336600.0,27014027900.0,8.51,1.35,2.1,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
12,2023-09-27,68600,69100,68200,68400,14886491,-0.2915451895043732,-83699529500.0,-252292700.0,27256649900.0,56695172300.0,8.49,1.35,2.11,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
13,2023-10-04,67400,67700,66700,67500,23361149,-1.3157894736842104,-85888536200.0,4030278000.0,205368934600.0,-123510676400.0,8.38,1.33,2.14,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
14,2023-10-05,67300,67400,66700,66700,16108313,-1.1851851851851851,24466732800.0,3391043300.0,202145558600.0,-230003334700.0,8.28,1.31,2.16,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
15,2023-10-06,67100,67300,66000,66000,14386527,-1.0494752623688157,55864006600.0,1691952500.0,223999980000.0,-281555939100.0,8.19,1.3,2.19,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
16,2023-10-10,66200,67600,66200,66400,19889202,0.6060606060606061,241278636200.0,2404889700.0,-15275672400.0,-228407853500.0,8.24,1.31,2.17,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
17,2023-10-11,68600,69400,67900,68200,25209349,2.710843373493976,205910450200.0,-2593431500.0,-233681005400.0,30363986700.0,8.46,1.34,2.12,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
18,2023-10-12,68600,69700,68200,68900,19311380,1.0263929618768328,51824399000.0,-472600400.0,-23625252700.0,-27726545900.0,8.55,1.36,2.1,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
19,2023-10-13,68000,68500,67700,68000,9724086,-1.3062409288824384,-2362710400.0,1189642900.0,51277945000.0,-50104877500.0,8.44,1.34,2.12,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
20,2023-10-16,67900,68500,66800,67300,12599299,-1.0294117647058822,2892011500.0,-672547700.0,73628845100.0,-75848308900.0,8.35,1.32,2.15,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
