,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-13,145700,148300,145700,146600,90943,0.34223134839151265,-1424361800,-54741300,-1723051000,3202154100,7.5,0.38,3.41,2534.699951171875,,,,3123.070068359375,18009.220703125,32706.51953125
1,2023-09-14,146500,148400,146100,147800,138511,0.8185538881309686,-228446500,-5184600,-890963600,1124594700,7.56,0.38,3.38,2572.889892578125,4467.43994140625,13813.58984375,3560.4599609375,3126.550048828125,18047.919921875,33168.1015625
2,2023-09-15,149200,152500,148300,151900,228745,2.774018944519621,6282112000,-193220600,-10736155200,4647263800,7.77,0.39,3.29,2601.280029296875,4505.10009765625,13926.0498046875,3584.22998046875,3117.739990234375,18182.890625,33533.08984375
3,2023-09-18,152000,152100,150100,150300,102472,-1.053324555628703,-966854000,47755800,900761800,18336400,7.69,0.39,3.33,2574.719970703125,4450.31982421875,13708.330078125,3476.389892578125,3125.929931640625,17930.55078125,
4,2023-09-19,150400,151500,149900,151000,73253,0.4657351962741184,-919646600,84312400,-434871100,1270205300,7.72,0.39,3.31,2559.2099609375,4453.52978515625,13710.240234375,3492.469970703125,3124.9599609375,17997.169921875,33242.58984375
5,2023-09-20,150600,153200,150500,152600,122999,1.0596026490066226,1232300100,540397800,-6148456900,4375759000,7.81,0.39,3.28,2559.739990234375,4443.9501953125,13678.1904296875,3459.02001953125,3108.568115234375,17885.599609375,33023.78125
6,2023-09-21,151700,152600,149800,149900,94646,-1.7693315858453473,-2455933600,21139100,30828800,2403965700,7.67,0.39,3.34,2514.969970703125,4402.2001953125,13469.1298828125,3398.81005859375,3084.700927734375,17655.41015625,32571.029296875
7,2023-09-22,148100,150300,145600,149300,93133,-0.40026684456304207,2712592900,-38121500,-112292500,-2562178900,7.64,0.39,3.35,2508.1298828125,4330.0,13223.98046875,3338.85009765625,3132.431884765625,18057.44921875,32402.41015625
8,2023-09-25,149000,150300,148200,149500,59709,0.13395847287340923,1415132900,15648000,-1364483100,-66297800,7.65,0.39,3.34,2495.760009765625,4320.06005859375,13211.8095703125,3365.2900390625,3115.60693359375,17729.2890625,32678.619140625
9,2023-09-26,148200,150500,146100,146200,85306,-2.2073578595317724,-2606445500,-33465600,1841426100,798485000,7.48,0.38,3.42,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
10,2023-09-27,145100,148700,144500,146200,90407,0.0,-1260502500,30408700,-683317200,1913411000,7.48,0.38,3.42,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
11,2023-10-04,144900,145100,138600,138800,268331,-5.06155950752394,-6178834700,469695700,18489330500,-12780191500,7.1,0.36,3.6,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
12,2023-10-05,139500,140500,136000,136000,215489,-2.0172910662824206,-2004670400,1009852100,14449860000,-13455041700,6.96,0.35,3.68,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
13,2023-10-06,136000,136600,134700,134900,134798,-0.8088235294117648,-2231600400,640844000,5245940500,-3655184100,6.9,0.35,3.71,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
14,2023-10-10,137500,141200,136300,137800,141191,2.149740548554485,6791381600,-221060400,-8697821900,2127500700,7.05,0.36,3.63,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
15,2023-10-11,137900,148000,137800,147300,190580,6.894049346879536,8205874600,873341300,-9602512500,523296600,7.54,0.38,3.39,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
16,2023-10-12,148300,163100,146200,159100,788364,8.010862186014936,19103714800,-5138725100,-35836064100,21871074400,8.14,0.41,3.14,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
17,2023-10-13,157300,157800,152400,153500,274175,-3.519798868636078,-516668900,2687579300,-754986100,-1415924300,7.85,0.4,3.26,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
18,2023-10-16,153500,153500,150600,151800,131379,-1.1074918566775245,-396366600,637032500,-1414218600,1173552700,7.77,0.39,3.29,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
19,2023-10-17,152000,153200,150900,152000,97757,0.13175230566534915,701608100,-1023445500,99069900,222767500,7.78,0.39,3.29,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
20,2023-10-18,151000,152800,149600,149900,84767,-1.381578947368421,-2031679300,64448700,953755400,1013475200,7.67,0.39,3.34,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
21,2023-10-19,148000,150500,146700,149300,117789,-0.40026684456304207,3544819400,-10741800,-2066532600,-1467545000,7.64,0.39,3.35,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
22,2023-10-20,148100,148800,142300,145200,206525,-2.7461486939048894,-2803922200,1226145700,3666619000,-2088842500,7.43,0.37,3.44,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
23,2023-10-23,144400,144400,141400,141600,157491,-2.479338842975207,316762600,-436623000,-291862700,411723100,7.24,0.37,3.53,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
24,2023-10-24,142500,143700,139300,141700,97398,0.07062146892655367,-1669392100,970395900,2797696800,-2098700600,7.25,0.37,3.53,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
25,2023-10-25,142100,145000,141900,143000,80396,0.9174311926605505,1583364800,-5484000,-1716897600,139016800,7.32,0.37,3.5,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
26,2023-10-26,141700,141800,139100,140800,135689,-1.5384615384615385,1028996100,37043600,821005000,-1887044700,7.2,0.36,3.55,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
27,2023-10-27,142200,142300,139000,139500,98397,-0.9232954545454546,3934713400,6299900,997415500,-4938428800,7.14,0.36,3.58,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
28,2023-10-30,139000,143700,139000,143400,76705,2.795698924731183,2081505300,48447200,-2399765700,269813200,7.34,0.37,3.49,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
29,2023-10-31,144500,146600,141000,142000,92614,-0.9762900976290098,1301766800,35508300,-1779122500,441847400,7.26,0.37,3.52,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
