종목명,종목코드,horizon,target,RMSE,MAE,MAPE(%),Bias,count,DirAcc_close(%),Dir_count
SK,034730,h1,high,5731.51097234945,4244.377487204798,2.039245536721205,-3316.734411827352,43,,0
SK,034730,h1,low,4928.849353901028,3508.819407917724,1.740978684459685,-536.9154882985431,43,,0
SK,034730,h1,close,5546.836688004327,3895.360790019816,1.8950799137042624,-2160.4475980581315,43,54.761904761904766,42
SK,034730,h2,high,6999.840300186216,5071.270063661392,2.4868566691352654,83.61464625312821,42,,0
SK,034730,h2,low,7271.649572351116,5467.023323263439,2.7434738480276737,133.9567888350797,42,,0
SK,034730,h2,close,7092.436342144264,4926.47383425917,2.4408233975556763,-1256.832461555798,42,57.14285714285714,42
SK,034730,h3,high,8910.87482432853,7280.87199766461,3.5649311745104217,527.0548667849549,41,,0
SK,034730,h3,low,8820.418792877876,7475.968578385144,3.7768734267674464,1530.4709280409493,41,,0
SK,034730,h3,close,10143.748318410891,8747.433250997121,4.382396110848898,4073.368392630318,41,48.78048780487805,41
삼성에스디에스,018260,h1,high,3251.650491433637,2480.142811425899,1.5250687862648782,-742.9026715977268,43,,0
삼성에스디에스,018260,h1,low,3744.253105189056,2743.274167387984,1.7639168853622118,2021.7322533906915,43,,0
삼성에스디에스,018260,h1,close,3951.898627423529,2939.378051702364,1.873354374466632,2343.939969983211,43,45.23809523809524,42
삼성에스디에스,018260,h2,high,5719.546904604074,3763.1430472646425,2.277783831669299,351.4735976854946,42,,0
삼성에스디에스,018260,h2,low,4979.764072988352,3763.7524864503303,2.380144487504226,-1105.2409278494963,42,,0
삼성에스디에스,018260,h2,close,4885.094935445323,3582.121909232366,2.2270470443898303,-446.781990357807,42,38.095238095238095,42
삼성에스디에스,018260,h3,high,6829.003014212399,4793.037117399821,2.9272043653938837,852.8365289292692,41,,0
삼성에스디에스,018260,h3,low,7374.557706298082,5101.878415665975,3.2443458221441888,-638.7478726666127,41,,0
삼성에스디에스,018260,h3,close,6066.430292088395,4215.108337780325,2.634605162886967,-45.8205134403422,41,46.34146341463415,41
